network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2.181.176.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.184.0/22,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
2.181.188.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.192.0/23,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
2.181.194.0/23,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.196.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.200.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.208.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.216.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.220.0/23,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.222.0/23,Iran,IR,Asia,AS,AS60148,Iran Information Technology Company PJSC,iran.ir,business
2.181.224.0/19,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.182.0.0/17,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.182.128.0/19,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.182.160.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.182.168.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.182.172.0/24,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
2.182.173.0/24,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.182.174.0/24,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
